regime_key,atr_min,atr_max,trades,pf,wr,equity,max_dd
high_vol_only,21.09,1000000000.0,992,1.1785931256605715,0.48185483870967744,4898.54282002156,1820.530005607112
all_regimes,0.0,1000000000.0,3148,1.095725163384315,0.4593392630241423,4673.2164088020145,3660.406586441426
low_high_vol,0.0,1000000000.0,3148,1.095725163384315,0.4593392630241423,4673.2164088020145,3660.406586441426
med_high_vol,10.37,1000000000.0,2057,1.0950663312486173,0.45989304812834225,4066.0191271292906,3782.925007961483
low_vol_only,0.0,10.37,1113,1.089980836328526,0.4582210242587601,567.6500670710066,443.7664950522194
low_med_vol,0.0,21.09,2184,0.9814887374338549,0.44871794871794873,-411.2456410538789,2430.471258574991
med_vol_only,10.37,21.09,1093,0.9370056340347284,0.43915827996340345,-1018.4429227266028,2569.6579717974946
