original_filename,normalized_filename,canonical_name,extension,file_hash_sha256,family,subfamily,role,priority,status,variant_of,duplicate_of,inferred_from_name,manually_reviewed,source_batch,notes
EL_Mogalef_Trend_Filter.txt,EL_Mogalef_Trend_Filter.txt,EL_Mogalef_Trend_Filter,txt,08f94fc25822ac152f812f9735899c8ffce145dbcc28ced56642baa0798fc5e9,mgf-regime-filter-lab,trend-overlays,filter,p3_low,classified,,,yes,no,initial_raw_material,
EL_Mogalef_Trend_Filter_V2.txt,EL_Mogalef_Trend_Filter_V2.txt,EL_Mogalef_Trend_Filter_V2,txt,c7f177f644aa4dfa9068da4df5511865c40d4a57b276fa9883dad1baa1e38c9b,mgf-regime-filter-lab,trend-overlays,filter,p0_core,classified,EL_Mogalef_Trend_Filter,,yes,no,initial_raw_material,
EL_Mogalef_Trend_Indicator.txt,EL_Mogalef_Trend_Indicator.txt,EL_Mogalef_Trend_Indicator,txt,1b21df74293a49210d325234e60524dff55e201c3345ee5ad85f17114615f8a3,mgf-regime-filter-lab,trend-overlays,indicator,p3_low,classified,,,yes,no,initial_raw_material,
EL_NeutralZone.txt,EL_NeutralZone.txt,EL_NeutralZone,txt,6fb20f8165dea53d042e8c340fa688a57a3ba95147dbdf413893af00726fb73c,mgf-regime-filter-lab,neutral-zone,filter,p3_low,classified,,,yes,no,initial_raw_material,
EL_NeutralZone_B_V2.txt,EL_NeutralZone_B_V2.txt,EL_NeutralZone_B_V2,txt,eca0e6853ae5183729ffcfddb49cb3cd7b2a048562fa2e53e2809e5af5d39c31,mgf-regime-filter-lab,neutral-zone,filter,p0_core,classified,EL_NeutralZone,,yes,no,initial_raw_material,
EL_REPULSE_DIV.txt,EL_REPULSE_DIV.txt,EL_REPULSE_DIV,txt,b7856fcb71a4487995866e3afebff1e591a9b9b6d985347793ecde4fe0d7fdf8,mgf-divergence-lab,repulse,signal,p0_core,classified,,,yes,no,initial_raw_material,
EL_STOCH_DIV.txt,EL_STOCH_DIV.txt,EL_STOCH_DIV,txt,887cc74cc5bb4f3dfeefdd6d5ade1cb26f44b620a549494bf13c96002a809c51,mgf-divergence-lab,stoch,signal,p2_medium,classified,,,yes,no,initial_raw_material,
EL_STPMT_DIV.txt,EL_STPMT_DIV.txt,EL_STPMT_DIV,txt,bce119261b25ea336854b4fbc53d4ecd00301000790f9256260a010ffc500688,mgf-divergence-lab,stpmt,signal,p0_core,classified,,,yes,no,initial_raw_material,
EL_Stop_Intel_v2_live.txt,EL_Stop_Intel_v2_live.txt,EL_Stop_Intel_v2_live,txt,da7f63f9e88c348a57169d394e98bf3b1058953c3689775e2a231e50dc224d6d,mgf-stop-lab,intelligent-family,stop,p3_low,classified,EL_Stop_Intelligent,,yes,no,initial_raw_material,
EL_Stop_Intelligent.txt,EL_Stop_Intelligent.txt,EL_Stop_Intelligent,txt,b32c9799d7d3edbc1e56263644eed91de5e61a063c1f8509573251a4e33a0f8a,mgf-stop-lab,intelligent-family,stop,p0_core,classified,,,yes,no,initial_raw_material,
EL_Stop_Intelligent_target.txt,EL_Stop_Intelligent_target.txt,EL_Stop_Intelligent_target,txt,99d3273c719375af5e2424fe9b4358201420e9c030b7740eb3029be6112e81a6,mgf-stop-lab,intelligent-family,target,p3_low,classified,EL_Stop_Intelligent,,yes,no,initial_raw_material,
EL_Stop_Keltner.txt,EL_Stop_Keltner.txt,EL_Stop_Keltner,txt,e82b6bd03397e02327003a75be566ae3e86189e39e7f25aa257eead441e7ee10,mgf-stop-lab,keltner,stop,p2_medium,classified,,,yes,no,initial_raw_material,
EL_Supertrend_05.txt,EL_Supertrend_05.txt,EL_Supertrend_05,txt,f61aae1637b6ab593ce84e8019971547440ad9830db9a18ee1fb4af5cc64b2c7,mgf-regime-filter-lab,trend-overlays,indicator,p3_low,classified,,,yes,no,initial_raw_material,
EL_Triangle_Long.txt,EL_Triangle_Long.txt,EL_Triangle_Long,txt,677467c9f4a8b3531fab71f737fb06c8c300c5a62e09187192f6feea94f44b9a,mgf-breakout-lab,geometric,signal,p3_low,classified,,,yes,no,initial_raw_material,
